idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
3196	M1079	0.036	0.053	0.2	0.034	0.045	0.047	0.039	0.079	0.069	0.029	0.036	0.043	0.054	0.051	0.034	0.047	0.105	2	M1102	0.2	M1102	TRUE	0.1 < p < 0.25	1
1806	M1975	0.063	0.08	0.054	0.037	0.048	0.047	0.054	0.073	0.151	0.062	0.048	0.041	0.042	0.047	0.057	0.049	0.045	2	M1979	0.151	M1979	TRUE	0.1 < p < 0.25	1
1098	M1975	0.046	0.038	0.049	0.034	0.059	0.049	0.051	0.089	0.206	0.039	0.047	0.045	0.046	0.046	0.076	0.045	0.035	2	M1979	0.206	M1979	TRUE	0.1 < p < 0.25	1
3521	M831	0.055	0.033	0.065	0.05	0.059	0.076	0.069	0.045	0.048	0.063	0.056	0.064	0.068	0.058	0.067	0.062	0.062	2	M1113	0.076	M1113	TRUE	p < 0.1	1
1069	M1975	0.05	0.064	0.046	0.04	0.043	0.055	0.04	0.168	0.177	0.035	0.044	0.036	0.041	0.039	0.042	0.043	0.038	2	M1979	0.177	M1979	TRUE	0.1 < p < 0.25	1
3510	M831	0.038	0.036	0.047	0.071	0.063	0.078	0.06	0.052	0.07	0.045	0.057	0.061	0.052	0.044	0.091	0.083	0.052	2	M831	0.091	M831	FALSE	p < 0.1	1
1146	M1975	0.044	0.091	0.061	0.065	0.047	0.054	0.05	0.065	0.047	0.085	0.058	0.054	0.062	0.061	0.06	0.05	0.049	2	M1079	0.091	M1079	TRUE	p < 0.1	1
138	M831	0.042	0.031	0.047	0.067	0.072	0.08	0.049	0.038	0.044	0.068	0.086	0.048	0.11	0.056	0.042	0.067	0.052	2	M813	0.11	M813	TRUE	0.1 < p < 0.25	1
641	M1106	0.034	0.091	0.069	0.043	0.048	0.051	0.05	0.057	0.061	0.077	0.065	0.08	0.073	0.05	0.066	0.045	0.041	2	M1079	0.091	M1079	TRUE	p < 0.1	1
1812	M1975	0.022	0.041	0.036	0.047	0.031	0.029	0.04	0.387	0.088	0.037	0.034	0.03	0.033	0.03	0.043	0.029	0.043	2	M1975	0.387	M1975	FALSE	0.25 < p < 0.5	1
2134	M831	0.038	0.049	0.092	0.075	0.045	0.067	0.089	0.04	0.06	0.064	0.058	0.043	0.052	0.034	0.076	0.05	0.07	2	M1102	0.092	M1102	TRUE	p < 0.1	1
906	M1113	0.067	0.051	0.044	0.071	0.06	0.064	0.054	0.045	0.045	0.061	0.066	0.067	0.061	0.067	0.055	0.069	0.051	2	M1106	0.071	M1106	TRUE	p < 0.1	1
3283	M831	0.048	0.082	0.075	0.061	0.064	0.048	0.055	0.04	0.084	0.043	0.04	0.053	0.068	0.062	0.057	0.05	0.071	2	M1979	0.084	M1979	TRUE	p < 0.1	1
2388	M1551	0.058	0.048	0.046	0.066	0.054	0.054	0.073	0.044	0.046	0.088	0.064	0.061	0.072	0.06	0.063	0.048	0.055	2	M244	0.088	M244	TRUE	p < 0.1	1
3244	M831	0.039	0.038	0.08	0.057	0.059	0.046	0.074	0.033	0.031	0.09	0.054	0.058	0.062	0.062	0.105	0.056	0.054	2	M831	0.105	M831	FALSE	0.1 < p < 0.25	1
2340	M244	0.049	0.05	0.053	0.049	0.049	0.09	0.06	0.04	0.033	0.088	0.069	0.079	0.053	0.067	0.05	0.069	0.053	2	M1113	0.09	M1113	TRUE	p < 0.1	1
3165	M815	0.077	0.059	0.058	0.057	0.047	0.083	0.054	0.034	0.039	0.041	0.063	0.072	0.061	0.095	0.052	0.055	0.053	2	M815	0.095	M815	FALSE	p < 0.1	1
700	M1106	0.077	0.058	0.047	0.124	0.055	0.043	0.05	0.039	0.033	0.062	0.051	0.039	0.063	0.054	0.041	0.082	0.082	2	M1106	0.124	M1106	FALSE	0.1 < p < 0.25	1
1141	M1975	0.065	0.05	0.073	0.058	0.057	0.054	0.052	0.086	0.117	0.04	0.049	0.046	0.057	0.047	0.041	0.048	0.059	2	M1979	0.117	M1979	TRUE	0.1 < p < 0.25	1
2418	M811	0.033	0.054	0.052	0.05	0.07	0.091	0.057	0.036	0.047	0.056	0.073	0.08	0.058	0.072	0.049	0.055	0.067	2	M1113	0.091	M1113	TRUE	p < 0.1	1
155	M831	0.036	0.041	0.065	0.099	0.075	0.044	0.071	0.04	0.035	0.051	0.052	0.066	0.064	0.064	0.087	0.052	0.058	2	M1106	0.099	M1106	TRUE	p < 0.1	1
3247	M831	0.043	0.048	0.163	0.061	0.046	0.044	0.045	0.041	0.03	0.039	0.045	0.048	0.069	0.074	0.056	0.05	0.099	2	M1102	0.163	M1102	TRUE	0.1 < p < 0.25	1
208	M831	0.033	0.039	0.056	0.088	0.062	0.084	0.068	0.035	0.034	0.054	0.063	0.065	0.058	0.053	0.069	0.07	0.069	2	M1106	0.088	M1106	TRUE	p < 0.1	1
3465	M1113	0.057	0.046	0.057	0.05	0.059	0.084	0.057	0.048	0.051	0.068	0.076	0.078	0.054	0.06	0.055	0.058	0.042	2	M1113	0.084	M1113	FALSE	p < 0.1	1
983	PP3	0.067	0.043	0.051	0.072	0.056	0.056	0.059	0.051	0.039	0.057	0.06	0.066	0.051	0.096	0.057	0.06	0.061	2	M815	0.096	M815	TRUE	p < 0.1	1
1561	M831	0.035	0.028	0.072	0.056	0.058	0.062	0.06	0.035	0.106	0.045	0.048	0.065	0.055	0.047	0.084	0.082	0.062	2	M1979	0.106	M1979	TRUE	0.1 < p < 0.25	1
2142	M831	0.038	0.043	0.074	0.076	0.07	0.046	0.066	0.05	0.041	0.066	0.05	0.053	0.063	0.047	0.105	0.047	0.063	2	M831	0.105	M831	FALSE	0.1 < p < 0.25	1
