idind	idcol	Thu20	Thu21	Thu22	Thu23	Thu24	Thu25	Thu26	Thu27	Thu28	Thu29	Thu30	Thu31	Thu32	Thu33	Thu34	Thu35	Thu36	Thu37	Thu38	Thu39	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
280	Thu37	0.044	0.013	0.038	0.023	0.009	0.038	0.031	0.041	0.018	0.021	0.015	0.02	0.154	0.039	0.025	0.127	0.188	0.062	0.029	0.067	7	Thu36	0.188	Thu36	TRUE	0.1 < p < 0.25	1
281	Thu35	0.008	0.006	0.007	0.006	0.007	0.008	0.007	0.008	0.005	0.007	0.005	0.008	0.01	0.008	0.006	0.86	0.01	0.008	0.009	0.008	7	Thu35	0.86	Thu35	FALSE	p > 0.5	1
283	Thu32	0.053	0.012	0.029	0.023	0.01	0.031	0.053	0.049	0.01	0.026	0.006	0.013	0.292	0.082	0.019	0.011	0.079	0.105	0.046	0.052	7	Thu32	0.292	Thu32	FALSE	0.25 < p < 0.5	1
285	Thu36	0.047	0.009	0.037	0.02	0.008	0.028	0.038	0.06	0.009	0.029	0.008	0.011	0.199	0.097	0.021	0.014	0.186	0.062	0.041	0.075	7	Thu32	0.199	Thu32	TRUE	0.1 < p < 0.25	1
286	Thu32	0.022	0.004	0.169	0.061	0.007	0.021	0.022	0.134	0.004	0.039	0.004	0.007	0.164	0.038	0.026	0.012	0.128	0.047	0.039	0.053	7	Thu22	0.169	Thu22	TRUE	0.1 < p < 0.25	1
294	Thu26	0.059	0.006	0.153	0.055	0.006	0.029	0.071	0.05	0.005	0.044	0.006	0.006	0.033	0.043	0.165	0.012	0.119	0.056	0.035	0.046	7	Thu34	0.165	Thu34	TRUE	0.1 < p < 0.25	1
298	Thu26	0.063	0.007	0.461	0.034	0.006	0.029	0.077	0.025	0.007	0.031	0.007	0.01	0.023	0.029	0.032	0.008	0.036	0.047	0.024	0.044	7	Thu22	0.461	Thu22	TRUE	0.25 < p < 0.5	1
300	Thu33	0.036	0.005	0.064	0.036	0.007	0.018	0.041	0.089	0.005	0.028	0.005	0.006	0.031	0.034	0.106	0.049	0.274	0.078	0.04	0.049	7	Thu36	0.274	Thu36	TRUE	0.25 < p < 0.5	1
301	Thu36	0.036	0.008	0.07	0.049	0.01	0.036	0.032	0.03	0.009	0.083	0.011	0.011	0.329	0.02	0.025	0.019	0.071	0.072	0.031	0.048	7	Thu32	0.329	Thu32	TRUE	0.25 < p < 0.5	1
303	Thu20	0.087	0.005	0.046	0.037	0.006	0.122	0.028	0.086	0.005	0.043	0.005	0.007	0.067	0.049	0.047	0.035	0.049	0.083	0.062	0.132	7	Thu39	0.132	Thu39	TRUE	0.1 < p < 0.25	1
306	Thu39	0.07	0.006	0.094	0.063	0.005	0.087	0.051	0.037	0.006	0.033	0.006	0.005	0.03	0.048	0.184	0.01	0.051	0.076	0.038	0.098	7	Thu34	0.184	Thu34	TRUE	0.1 < p < 0.25	1
310	Thu32	0.092	0.007	0.054	0.026	0.007	0.025	0.087	0.063	0.007	0.032	0.006	0.006	0.025	0.03	0.167	0.028	0.129	0.092	0.051	0.065	7	Thu34	0.167	Thu34	TRUE	0.1 < p < 0.25	1
311	Thu36	0.032	0.005	0.036	0.03	0.007	0.257	0.016	0.068	0.005	0.02	0.005	0.006	0.175	0.053	0.056	0.015	0.043	0.061	0.022	0.088	7	Thu25	0.257	Thu25	TRUE	0.25 < p < 0.5	1
315	Thu35	0.011	0.008	0.01	0.009	0.006	0.009	0.009	0.011	0.007	0.01	0.007	0.007	0.009	0.009	0.011	0.827	0.011	0.01	0.01	0.01	7	Thu35	0.827	Thu35	FALSE	p > 0.5	1
318	Thu23	0.11	0.016	0.053	0.081	0.018	0.1	0.072	0.035	0.022	0.088	0.024	0.009	0.026	0.047	0.085	0.013	0.041	0.056	0.03	0.074	7	Thu20	0.11	Thu20	TRUE	0.1 < p < 0.25	1
321	Thu20	0.121	0.016	0.067	0.096	0.01	0.065	0.102	0.031	0.018	0.063	0.02	0.007	0.023	0.034	0.093	0.011	0.04	0.058	0.036	0.09	7	Thu20	0.121	Thu20	FALSE	0.1 < p < 0.25	1
325	Thu38	0.055	0.008	0.206	0.076	0.008	0.023	0.045	0.029	0.006	0.046	0.011	0.007	0.089	0.053	0.036	0.047	0.048	0.072	0.059	0.075	7	Thu22	0.206	Thu22	TRUE	0.1 < p < 0.25	1
334	Thu38	0.052	0.013	0.092	0.066	0.008	0.036	0.046	0.057	0.013	0.04	0.017	0.009	0.051	0.075	0.034	0.019	0.069	0.091	0.087	0.125	7	Thu39	0.125	Thu39	TRUE	0.1 < p < 0.25	1
335	Thu32	0.052	0.014	0.056	0.03	0.012	0.048	0.063	0.102	0.016	0.038	0.018	0.013	0.152	0.051	0.06	0.031	0.046	0.068	0.039	0.09	7	Thu32	0.152	Thu32	FALSE	0.1 < p < 0.25	1
