idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2015_1	col2015_2	col2016_1	col2016_2	col2017_1	col2017_2
192	134	134	186	186	268	290	226	226	214	215	169	169	247	247	212	220	Thu37	M	Juv	2016	NA	NA	NA	Thu37	NA	Thu37
193	134	134	186	186	268	290	226	226	0	0	169	177	251	255	220	228	Thu27	M	Juv	2017	NA	NA	NA	NA	NA	Thu27
194	134	134	186	186	268	290	228	237	215	218	169	177	251	255	212	220	Thu22	M	Juv	2017	NA	NA	NA	NA	NA	Thu22
195	134	134	186	186	268	290	226	228	215	215	169	177	243	243	216	224	Thu37	M	Juv	2016	NA	NA	NA	Thu37	NA	NA
196	134	134	186	186	268	290	226	228	214	215	169	169	247	247	212	220	Thu37	M	Juv	2016	NA	NA	NA	Thu37	NA	NA
197	134	134	186	186	268	290	226	228	215	218	169	177	255	259	224	224	Thu36	M	Juv	2017	NA	NA	NA	NA	NA	Thu36
198	134	134	186	186	268	290	226	228	0	0	169	169	247	247	220	220	Thu33	M	Adult	2017	NA	NA	NA	NA	Thu33	NA
199	134	134	186	186	268	290	228	228	212	215	177	177	247	255	212	228	Thu20	M	Juv	2016	NA	NA	NA	Thu20	NA	NA
200	134	134	186	186	268	290	228	228	212	215	169	177	247	247	212	212	Thu33	M	Juv	2016	NA	NA	NA	Thu33	NA	NA
201	134	134	186	186	268	290	228	228	212	215	169	169	243	259	212	220	Thu22	M	Juv	2016	NA	NA	NA	Thu22	NA	NA
202	134	134	186	186	268	290	228	228	215	215	169	169	259	259	212	228	Thu20	M	Juv	2016	NA	NA	NA	Thu20	NA	NA
203	134	134	186	186	268	290	228	228	215	215	169	169	247	259	212	228	Thu20	M	Juv	2015	NA	Thu20	NA	NA	Thu20	NA
204	134	134	186	186	268	290	228	228	215	215	169	169	247	255	212	220	Thu20	M	Juv	2017	NA	NA	NA	NA	NA	Thu20
205	134	134	186	186	268	290	228	228	214	220	169	169	255	255	212	220	Thu29	M	Juv	2016	NA	NA	NA	Thu29	NA	NA
206	134	134	186	186	268	290	228	228	0	0	169	169	251	259	220	236	Thu22	M	Adult	2017	NA	NA	NA	NA	Thu22	NA
207	134	134	186	186	268	268	229	229	215	215	169	169	247	251	220	220	Thu35	M	Juv	2016	NA	NA	NA	Thu35	NA	NA
208	134	134	186	186	268	268	235	237	215	218	169	169	247	259	224	232	Thu27	M	Juv	2017	NA	NA	NA	NA	NA	Thu27
209	134	134	186	186	268	268	226	226	214	218	169	177	251	251	212	220	Thu23	M	Juv	2016	NA	NA	NA	Thu23	NA	NA
210	134	134	186	186	268	268	228	237	214	214	169	173	255	259	212	220	Thu22	M	Adult	2017	NA	NA	NA	NA	Thu22	NA
